order_id,order_datetime,promised_datetime,shipped_datetime,delivered_datetime,center_id,sku_category,customer_region,delivery_type,customer_type,item_count,order_amount,picking_minutes,packing_minutes,shipping_distance_km,courier_partner,return_flag,damage_flag
OD102381,2026-02-09 16:39:00,2026-02-10 16:39:00,2026-02-09 17:33:30,2026-02-10 14:38:07,FC03,전자기기,충청권,로켓배송,일반,4,203300.0,33.1,21.4,169.4,PartnerA,0,0
OD105163,2026-02-03 09:32:00,2026-02-03 21:32:00,2026-02-03 09:55:12,2026-02-04 01:04:35,FC02,패션,제주권,새벽배송,일반,2,21900.0,16.0,7.2,333.2,PartnerB,0,0
OD103640,2026-02-21 17:46:00,2026-02-22 17:46:00,2026-02-21 18:01:06,2026-02-22 11:16:50,FC01,패션,충청권,로켓배송,와우회원,2,41500.0,8.8,6.3,145.4,CLS,0,0
OD103327,2026-02-21 23:51:00,2026-02-22 11:51:00,2026-02-22 00:47:24,2026-02-22 10:17:20,FC02,생활용품,충청권,새벽배송,일반,8,78200.0,28.8,27.6,106.6,CLS,0,0
OD100503,2026-02-03 07:23:00,2026-02-05 07:23:00,2026-02-03 07:46:54,2026-02-04 17:45:10,FC04,반려동물,수도권,일반배송,일반,2,49000.0,18.3,5.6,200.5,PartnerA,0,0
OD102752,2026-02-16 07:05:00,2026-02-17 07:05:00,2026-02-16 07:47:12,2026-02-17 04:16:35,FC03,식품,충청권,로켓배송,일반,1,13900.0,20.1,22.1,117.0,CLS,0,0
OD100513,2026-02-26 18:26:00,2026-02-27 18:26:00,2026-02-26 19:06:06,2026-02-27 13:16:25,FC05,패션,수도권,로켓배송,일반,3,38400.0,33.1,7.0,100.2,CLS,1,0
OD102875,2026-02-01 17:39:00,2026-02-02 17:39:00,2026-02-01 18:41:24,2026-02-02 12:20:10,FC03,생활용품,강원권,로켓배송,일반,3,55300.0,49.7,12.7,129.7,CLS,0,0
OD100251,2026-02-03 09:28:00,2026-02-03 21:28:00,2026-02-03 10:03:06,2026-02-03 22:05:37,FC01,패션,수도권,새벽배송,와우회원,2,74800.0,24.2,10.9,128.4,PartnerA,0,0
OD100838,2026-02-06 21:52:00,2026-02-07 21:52:00,2026-02-06 22:36:48,2026-02-07 16:08:10,FC01,전자기기,수도권,로켓배송,일반,4,97300.0,32.2,12.6,121.6,CLS,0,0
OD100132,2026-02-01 06:00:00,2026-02-03 06:00:00,2026-02-01 06:28:36,2026-02-02 15:38:54,FC02,반려동물,강원권,일반배송,일반,1,missing,23.3,5.3,159.0,PartnerA,0,0
OD103875,2026-02-28 13:48:00,2026-03-01 13:48:00,2026-02-28 14:14:12,2026-03-01 06:01:52,FC02,전자기기,수도권,로켓배송,일반,2,93800.0,8.8,17.4,101.0,CLS,0,0
OD103649,2026-02-05 19:27:00,2026-02-06 07:27:00,2026-02-05 20:00:48,2026-02-06 05:41:06,FC02,전자기기,수도권,새벽배송,와우회원,5,385100.0,26.2,7.6,66.1,PartnerB,1,0
OD102129,2026-02-19 13:32:00,2026-02-21 13:32:00,2026-02-19 14:43:36,2026-02-21 05:09:23,FC02,도서,제주권,일반배송,기업,1,36900.0,48.7,22.9,326.1,PartnerA,0,1
OD102289,2026-02-06 18:50:00,2026-02-07 18:50:00,2026-02-06 19:25:36,2026-02-07 15:42:24,FC02,패션,영남권,로켓배송,일반,2,"₩265,600",30.2,5.4,110.2,CLS,0,0
OD103950,2026-02-11 21:42:00,2026-02-12 21:42:00,2026-02-11 22:23:24,2026-02-12 14:05:51,FC01,전자기기,수도권,로켓배송,일반,2,102500.0,31.6,9.8,53.1,CLS,0,0
OD104595,2026-02-27 15:31:00,2026-03-01 15:31:00,2026-02-27 16:13:36,2026-03-01 04:31:03,FC03,생활용품,제주권,일반배송,와우회원,3,64400.0,28.1,14.5,281.6,CLS,0,0
OD101754,2026-02-10 16:54:00,2026-02-12 16:54:00,2026-02-10 17:59:42,2026-02-12 02:59:22,FC02,생활용품,수도권,일반배송,일반,5,37000.0,46.4,19.3,18.6,PartnerA,0,0
OD101396,2026-02-23 17:26:00,2026-02-24 17:26:00,2026-02-23 17:58:36,2026-02-24 13:12:12,FC01,식품,영남권,로켓배송,일반,4,71900.0,25.2,7.4,178.5,PartnerA,0,0
OD102879,2026-02-10 22:18:00,2026-02-11 22:18:00,2026-02-10 23:02:54,2026-02-11 12:58:22,FC04,식품,수도권,로켓배송,일반,1,11800.0,22.3,22.6,72.8,CLS,0,0
OD102213,2026-02-06 14:49:00,2026-02-07 02:49:00,2026-02-06 15:23:00,2026-02-07 02:43:15,FC03,전자기기,호남권,새벽배송,일반,1,69400.0,24.9,9.1,137.5,CLS,0,0
OD102280,2026-02-21 17:54:00,2026-02-22 17:54:00,2026-02-21 19:08:48,2026-02-22 17:40:31,FC02,패션,영남권,로켓배송,와우회원,2,51900.0,51.5,23.3,228.5,CLS,0,0
OD103701,2026-02-27 12:38:00,2026-03-01 12:38:00,2026-02-27 13:43:12,2026-02-28 23:48:41,FC02,생활용품,영남권,일반배송,일반,4,26200.0,31.9,33.3,140.0,CLS,0,0
OD104682,2026-02-08 07:34:00,2026-02-08 19:34:00,2026-02-08 07:58:12,2026-02-08 21:18:27,FC01,생활용품,영남권,새벽배송,와우회원,3,94900.0,18.3,5.9,169.2,PartnerA,0,0
OD102165,2026-02-02 04:01:00,2026-02-03 04:01:00,2026-02-02 04:42:42,2026-02-03 00:06:04,FC01,뷰티,호남권,로켓배송,일반,5,66700.0,30.9,10.8,116.3,CLS,0,0
OD104758,2026-02-24 18:48:00,2026-02-25 18:48:00,2026-02-24 19:08:36,2026-02-25 09:39:02,FC01,전자기기,수도권,로켓배송,와우회원,3,271800.0,9.8,10.8,81.3,CLS,0,0
OD100988,2026-02-08 19:27:00,2026-02-10 19:27:00,2026-02-08 20:49:48,2026-02-10 08:39:58,FC05,전자기기,영남권,일반배송,일반,2,73000.0,61.5,21.3,156.8,PartnerC,0,0
OD104659,2026-02-14 20:48:00,2026-02-15 08:48:00,2026-02-14 21:31:30,2026-02-15 08:50:34,FC03,패션,수도권,새벽배송,일반,2,27300.0,30.5,13.0,24.6,CLS,0,0
OD105067,2026-02-08 00:27:00,2026-02-08 12:27:00,2026-02-08 01:21:42,2026-02-08 15:23:56,FC02,생활용품,강원권,새벽배송,일반,6,68800.0,28.2,26.5,177.4,PartnerB,0,0
OD104039,2026-02-25 07:27:00,2026-02-26 07:27:00,2026-02-25 08:00:36,2026-02-26 04:29:49,FC03,뷰티,호남권,로켓배송,와우회원,5,85900.0,19.2,14.4,205.4,CLS,0,0
OD104821,2026-02-09 14:54:00,2026-02-10 14:54:00,2026-02-09 15:24:06,2026-02-10 09:19:02,FC04,뷰티,충청권,로켓배송,기업,3,39900.0,12.5,17.6,150.2,PartnerB,0,0
OD103207,2026-02-06 06:19:00,2026-02-07 06:19:00,2026-02-06 06:54:24,2026-02-07 08:31:10,FC03,생활용품,충청권,로켓배송,와우회원,4,55100.0,24.9,10.5,358.7,CLS,0,0
OD100652,2026-02-07 20:25:00,2026-02-08 20:25:00,2026-02-07 20:57:54,2026-02-08 22:00:15,FC04,반려동물,제주권,로켓배송,와우회원,2,46900.0,22.6,10.3,323.2,CLS,0,0
OD102812,2026-02-28 09:39:00,2026-03-01 09:39:00,2026-02-28 10:34:48,2026-03-01 06:33:15,FC04,beauty,영남권,로켓배송,기업,2,53600.0,24.4,31.4,199.6,CLS,0,0
OD102035,2026-02-18 18:23:00,2026-02-19 18:23:00,2026-02-18 19:12:18,2026-02-19 12:08:23,FC03,생활용품,수도권,로켓배송,기업,3,118100.0,43.1,6.2,69.2,PartnerA,0,0
OD103643,2026-02-13 13:41:00,2026-02-14 13:41:00,2026-02-13 14:38:30,2026-02-14 08:19:42,FC05,패션,영남권,로켓배송,일반,4,126600.0,28.5,29.0,186.2,CLS,0,0
OD104984,2026-02-27 19:32:00,2026-03-01 19:32:00,2026-02-27 20:19:06,2026-03-01 07:17:13,FC01,생활용품,호남권,일반배송,와우회원,4,63900.0,28.3,18.8,152.3,CLS,0,0
OD103390,2026-02-02 17:36:00,2026-02-04 17:36:00,2026-02-02 17:54:00,2026-02-04 04:08:12,FC01,식품,영남권,일반배송,일반,1,10600.0,16.2,1.8,134.9,CLS,0,0
OD104452,2026-02-05 12:13:00,2026-02-06 12:13:00,2026-02-05 13:02:54,2026-02-06 11:13:27,FC03,생활용품,영남권,로켓배송,일반,4,82600.0,16.6,33.3,144.0,PartnerB,0,0
OD104121,2026-02-05 10:38:00,2026-02-06 10:38:00,2026-02-05 12:16:24,2026-02-06 04:26:36,FC04,식품,수도권,로켓배송,와우회원,3,32000.0,75.9,22.5,83.9,CLS,0,0
OD103863,2026-02-27 18:36:00,2026-02-28 18:36:00,2026-02-27 19:03:18,2026-02-28 14:53:41,FC02,도서,호남권,로켓배송,와우회원,2,34800.0,23.5,3.8,192.3,CLS,0,0
OD101523,2026-02-13 12:37:00,2026-02-14 00:37:00,2026-02-13 13:39:24,2026-02-14 02:16:32,FC03,생활용품,수도권,새벽배송,일반,7,58400.0,44.0,18.4,95.7,CLS,0,0
OD102028,2026-02-26 05:35:00,2026-02-27 05:35:00,2026-02-26 06:03:30,2026-02-27 02:29:36,FC03,패션,호남권,로켓배송,와우회원,3,214500.0,22.8,5.7,200.9,CLS,0,0
OD104722,2026-02-15 05:44:00,2026-02-16 05:44:00,2026-02-15 06:14:00,2026-02-16 01:31:08,FC03,패션,충청권,로켓배송,와우회원,3,67900.0,19.4,10.6,152.9,CLS,0,0
OD102798,2026-02-02 13:08:00,2026-02-03 13:08:00,2026-02-02 14:03:54,2026-02-03 08:53:44,FC02,생활용품,영남권,로켓배송,일반,2,48600.0,30.6,25.3,138.6,CLS,0,0
OD101904,2026-02-22 07:10:00,2026-02-23 07:10:00,2026-02-22 07:42:48,2026-02-22 21:07:41,FC03,뷰티,수도권,로켓배송,일반,1,26100.0,19.4,13.4,102.4,PartnerC,0,0
OD100454,2026-02-24 18:26:00,2026-02-25 06:26:00,2026-02-24 19:42:12,,FC03,패션,영남권,새벽배송,일반,2,90300.0,70.7,5.5,178.5,CLS,0,0
OD104709,2026-02-08 18:07:00,2026-02-10 18:07:00,2026-02-08 18:56:54,2026-02-10 05:57:41,FC04,생활용품,수도권,일반배송,일반,3,34300.0,42.3,7.6,112.1,CLS,0,0
OD103472,2026-02-18 18:57:00,2026-02-20 18:57:00,2026-02-18 20:31:18,2026-02-20 05:15:39,FC04,뷰티,호남권,일반배송,일반,2,106500.0,70.5,23.8,95.1,CLS,0,0
OD101835,2026-02-25 07:38:00,2026-02-26 07:38:00,2026-02-25 08:37:24,2026-02-26 03:56:47,FC02,전자기기,강원권,로켓배송,일반,1,90100.0,44.8,14.6,134.3,CLS,0,0
OD104501,2026-02-24 19:09:00,2026-02-25 19:09:00,2026-02-24 19:54:30,2026-02-25 16:06:21,FC04,뷰티,수도권,로켓배송,일반,2,72800.0,40.3,5.2,248.7,PartnerB,0,0
OD104500,2026-02-06 01:25:00,2026-02-08 01:25:00,2026-02-06 02:08:42,2026-02-07 13:42:25,FC04,생활용품,제주권,일반배송,일반,3,76900.0,34.3,9.4,367.4,CLS,0,0
OD101080,2026-02-11 14:08:00,2026-02-13 14:08:00,2026-02-11 15:02:54,2026-02-13 01:45:38,FC05,생활용품,영남권,일반배송,와우회원,3,57400.0,43.9,11.0,170.6,PartnerA,0,0
OD104190,2026-02-25 15:05:00,2026-02-26 03:05:00,2026-02-25 15:56:12,2026-02-26 02:26:15,FC02,식품,수도권,새벽배송,와우회원,3,28900.0,41.5,9.7,53.2,PartnerA,0,0
OD104387,2026-02-21 05:43:00,2026-02-22 05:43:00,2026-02-21 06:14:12,2026-02-22 02:24:05,FC05,패션,수도권,로켓배송,와우회원,4,161700.0,15.2,16.0,164.8,CLS,0,0
OD102503,2026-02-25 18:21:00,2026-02-27 18:21:00,2026-02-25 18:49:24,2026-02-27 07:46:17,FC02,전자기기,호남권,일반배송,일반,3,96600.0,20.6,7.8,203.1,PartnerA,0,0
OD104068,2026-02-04 12:47:00,2026-02-05 00:47:00,2026-02-04 13:41:30,2026-02-04 21:43:31,FC05,식품,강원권,새벽배송,기업,3,70500.0,42.5,12.0,157.8,CLS,0,0
OD104204,2026-02-12 11:07:00,2026-02-13 11:07:00,2026-02-12 11:48:54,2026-02-13 04:00:51,FC02,식품,영남권,로켓배송,일반,1,49800.0,35.7,6.2,116.8,CLS,1,0
OD105060,2026-02-03 16:50:00,2026-02-04 04:50:00,2026-02-03 17:49:30,2026-02-04 08:38:58,FC02,패션,충청권,새벽배송,기업,4,39300.0,43.4,16.1,101.2,PartnerA,0,0
OD102816,2026-02-23 20:00:00,2026-02-24 20:00:00,2026-02-23 20:24:48,2026-02-24 15:33:16,FC03,식품,수도권,로켓배송,일반,4,36500.0,16.7,8.1,62.3,CLS,0,0
OD105084,2026-02-23 06:01:00,2026-02-25 06:01:00,2026-02-23 06:21:24,2026-02-24 13:04:35,FC02,생활용품,수도권,일반배송,일반,2,45400.0,17.7,2.7,69.4,CLS,0,0
OD104727,2026-02-05 19:45:00,2026-02-06 19:45:00,2026-02-05 20:27:12,2026-02-06 19:35:06,FC02,생활용품,수도권,로켓배송,일반,6,37400.0,33.8,8.4,204.0,PartnerB,0,0
OD102117,2026-02-04 10:53:00,2026-02-04 22:53:00,2026-02-04 11:28:18,2026-02-04 20:19:13,FC02,전자기기,수도권,새벽배송,와우회원,2,138800.0,18.7,16.6,86.4,PartnerC,0,0
OD102112,2026-02-18 11:45:00,2026-02-20 11:45:00,2026-02-18 12:25:18,2026-02-19 21:03:34,FC01,식품,수도권,일반배송,일반,3,99300.0,25.9,14.4,175.9,PartnerB,0,0
OD102739,2026-02-15 11:56:00,2026-02-16 11:56:00,2026-02-15 12:31:36,2026-02-16 08:37:23,FC05,생활용품,충청권,로켓배송,일반,1,20900.0,25.3,10.3,116.1,CLS,0,1
OD102412,2026-02-23 09:58:00,2026-02-24 09:58:00,2026-02-23 10:26:00,2026-02-24 07:18:52,FC04,식품,충청권,로켓배송,일반,3,23700.0,20.5,7.5,175.8,CLS,0,0
OD102735,2026-02-26 07:38:00,2026-02-27 07:38:00,2026-02-26 08:11:36,2026-02-27 01:37:44,FC04,패션,수도권,로켓배송,일반,2,72500.0,20.6,13.0,93.9,CLS,0,0
OD104905,2026-02-02 15:50:00,2026-02-03 15:50:00,2026-02-02 16:28:54,2026-02-03 13:30:06,FC01,뷰티,영남권,로켓배송,일반,3,74200.0,12.7,26.2,179.9,CLS,0,0
OD101352,2026-02-15 23:13:00,2026-02-16 23:13:00,2026-02-15 23:46:36,2026-02-16 13:54:08,FC03,생활용품,수도권,로켓배송,기업,3,159200.0,26.1,7.5,190.8,PartnerC,0,0
OD101075,2026-02-23 17:30:00,2026-02-24 17:30:00,2026-02-23 18:16:12,2026-02-24 11:28:13,FC04,뷰티,수도권,로켓배송,일반,3,missing,29.2,17.0,148.2,CLS,0,0
OD103338,2026-02-26 16:57:00,2026-02-28 16:57:00,2026-02-26 17:33:30,2026-02-28 01:43:09,FC01,패션,수도권,일반배송,일반,3,51400.0,22.5,14.0,111.1,PartnerA,0,0
OD104652,2026-02-13 20:14:00,2026-02-14 20:14:00,2026-02-13 20:56:30,2026-02-14 14:30:36,FC02,전자기기,수도권,로켓배송,일반,1,72400.0,30.4,12.1,165.0,PartnerA,0,0
