order_id,order_datetime,promised_datetime,shipped_datetime,delivered_datetime,center_id,sku_category,customer_region,delivery_type,customer_type,item_count,order_amount,picking_minutes,packing_minutes,shipping_distance_km,courier_partner,return_flag,damage_flag
OD101230,2026-04-04 20:56:00,2026-04-05 20:56:00,2026-04-04 21:27:06,2026-04-05 14:29:11,FC01,패션,충청권,로켓배송,와우회원,4,44700.0,21.5,9.6,90.0,PartnerB,0,0
OD101367,2026-04-01 04:01:00,2026-04-02 04:01:00,2026-04-01 04:40:48,2026-04-01 21:07:19,FC05,식품,충청권,로켓배송,일반,1,19800.0,17.4,22.4,145.4,PartnerC,0,0
OD102381,2026-02-09 16:39:00,2026-02-10 16:39:00,2026-02-09 17:33:30,2026-02-10 14:38:07,FC03,전자기기,충청권,로켓배송,일반,4,203300.0,33.1,21.4,169.4,PartnerA,0,0
OD103965,2026-01-14 18:36:00,2026-01-15 18:36:00,2026-01-14 19:17:24,2026-01-15 11:26:06,FC03,반려동물,충청권,로켓배송,와우회원,4,24300.0,32.1,9.3,118.5,CLS,0,0
OD105163,2026-02-03 09:32:00,2026-02-03 21:32:00,2026-02-03 09:55:12,2026-02-04 01:04:35,FC02,패션,제주권,새벽배송,일반,2,21900.0,16.0,7.2,333.2,PartnerB,0,0
OD105065,2026-01-14 15:07:00,2026-01-15 15:07:00,2026-01-14 15:47:06,2026-01-15 09:08:34,FC01,식품,호남권,로켓배송,와우회원,4,42800.0,15.4,24.7,151.6,CLS,0,0
OD103309,2026-04-23 20:38:00,2026-04-24 20:38:00,2026-04-23 20:56:36,2026-04-24 14:55:22,FC01,반려동물,수도권,로켓배송,기업,3,70800.0,11.1,7.5,72.8,CLS,0,0
OD103138,2026-04-08 13:46:00,2026-04-10 13:46:00,2026-04-08 14:22:00,2026-04-09 21:43:43,FC02,생활용품,영남권,일반배송,기업,4,287500.0,16.7,19.3,144.6,CLS,0,0
OD103640,2026-02-21 17:46:00,2026-02-22 17:46:00,2026-02-21 18:01:06,2026-02-22 11:16:50,FC01,패션,충청권,로켓배송,와우회원,2,41500.0,8.8,6.3,145.4,CLS,0,0
OD102066,2026-01-19 14:56:00,2026-01-20 14:56:00,2026-01-19 16:13:30,2026-01-20 09:11:49,FC04,생활용품,강원권,로켓배송,와우회원,3,16600.0,41.2,36.3,138.8,PartnerB,0,1
OD102441,2026-01-28 12:59:00,2026-01-29 12:59:00,2026-01-28 13:29:42,2026-01-29 08:21:57,FC01,식품,수도권,로켓배송,와우회원,3,14900.0,16.5,14.2,102.5,CLS,0,0
OD103327,2026-02-21 23:51:00,2026-02-22 11:51:00,2026-02-22 00:47:24,2026-02-22 10:17:20,FC02,생활용품,충청권,새벽배송,일반,8,78200.0,28.8,27.6,106.6,CLS,0,0
OD100503,2026-02-03 07:23:00,2026-02-05 07:23:00,2026-02-03 07:46:54,2026-02-04 17:45:10,FC04,반려동물,수도권,일반배송,일반,2,49000.0,18.3,5.6,200.5,PartnerA,0,0
